"FK_ArtsID,""Antall"",""AntallFlokk"",""RuteID"",""Aar1"",""LinjeIngenObs"",""LinjeIkkeTaksert"",""DatoEndret"""
2110,1,NA,422,2009,NA,NA,2009-09-01 14:53:53
4070,1,NA,422,2009,NA,NA,2009-09-01 14:53:53
1510,1,NA,616,2009,NA,NA,2009-09-03 22:21:42
5360,NA,4,616,2009,NA,NA,2009-09-03 22:21:42
5060,1,NA,616,2009,NA,NA,2009-09-03 22:21:42
2210,1,NA,1714,2009,NA,NA,2009-09-03 22:42:49
1380,1,NA,1714,2009,NA,NA,2009-09-03 22:42:49
2090,1,NA,1714,2009,NA,NA,2009-09-03 22:42:49
5060,1,NA,1714,2009,NA,NA,2009-09-03 22:42:49
4970,1,NA,1714,2009,NA,NA,2009-09-03 22:42:49
1450,1,NA,1718,2009,NA,NA,2009-09-03 23:18:55
3760,1,NA,1718,2009,NA,NA,2009-09-03 23:18:55
4900,1,NA,1718,2009,NA,NA,2009-09-03 23:18:55
2140,1,NA,204,2009,NA,NA,2009-09-04 11:56:25
1050,1,NA,204,2009,NA,NA,2009-09-04 11:56:25
3410,1,NA,204,2009,NA,NA,2009-09-04 11:56:25
3750,1,NA,204,2009,NA,NA,2009-09-04 11:56:25
5520,NA,15,206,2009,NA,NA,2009-09-04 13:10:51
3460,1,NA,1733,2009,NA,NA,2009-09-04 16:54:34
2140,1,NA,1733,2009,NA,NA,2009-09-04 16:54:34
2060,1,NA,1733,2009,NA,NA,2009-09-04 16:54:34
750,1,NA,411,2009,NA,NA,2009-09-05 15:07:16
720,1,NA,411,2009,NA,NA,2009-09-05 15:07:16
1510,1,NA,411,2009,NA,NA,2009-09-05 15:07:16
1500,1,NA,411,2009,NA,NA,2009-09-05 15:07:16
2110,1,NA,411,2009,NA,NA,2009-09-05 15:07:16
4840,4,NA,411,2009,NA,NA,2009-09-05 15:07:16
1500,4,NA,406,2009,NA,NA,2009-09-05 17:27:30
1640,1,NA,406,2009,NA,NA,2009-09-05 17:27:30
4840,1,NA,406,2009,NA,NA,2009-09-05 17:27:30
3790,1,NA,406,2009,NA,NA,2009-09-05 17:27:30
1510,1,NA,430,2009,NA,NA,2009-09-05 21:20:51
2090,1,NA,430,2009,NA,NA,2009-09-05 21:20:51
4230,1,NA,430,2009,NA,NA,2009-09-05 21:20:51
1530,3,NA,432,2009,NA,NA,2009-09-05 21:42:28
390,1,NA,1716,2009,NA,NA,2009-09-06 11:10:43
1500,2,NA,1716,2009,NA,NA,2009-09-06 11:10:43
