Route_Point_ID;Aar1;Latitude.x;Longitude.x;Hoh_DEM
519_3;2019;61.54229791;8.658340791;1178
519_6;2019;61.5495701;8.665843425;1182
519_7;2019;61.55206807;8.67048313;1185
519_8;2019;61.55430549;8.667636698;1233
519_9;2019;61.55702112;8.665800964;1306
519_10;2019;61.55978875;8.666881668;1358
519_11;2019;61.5619417;8.669926694;1358
519_12;2019;61.56437368;8.67330804;1358
519_13;2019;61.56702724;8.675520408;1354
519_14;2019;61.57010666;8.675620038;1381
519_15;2019;61.57224593;8.672980472;1446
519_17;2019;61.57779467;8.669588722;1516
519_20;2019;61.58553918;8.664740532;1553
520_8;2010;61.58666729;9.305922507;870
520_9;2010;61.58689695;9.311557282;891
520_17;2017;61.57373566;9.319635076;874
520_18;2017;61.57349732;9.314021368;870
520_1;2018;61.57278995;9.297143188;861
522_5;2008;61.72965285;8.926439414;1035
522_6;2008;61.73233667;8.925903076;1026
522_5;2009;61.72965285;8.926439414;1035
522_6;2009;61.73233667;8.925903076;1026
522_5;2010;61.72965285;8.926439414;1035
522_4;2012;61.726978;8.926956714;1044
522_5;2012;61.72965285;8.926439414;1035
522_1;2013;61.71894447;8.928545934;1081
522_3;2013;61.72430315;8.927492846;1048
522_4;2013;61.726978;8.926956714;1044
522_5;2013;61.72965285;8.926439414;1035
522_6;2013;61.73233667;8.925903076;1026
522_7;2013;61.73258199;8.931561532;980
522_1;2016;61.71894447;8.928545934;1081
522_4;2016;61.726978;8.926956714;1044
522_6;2016;61.73233667;8.925903076;1026
522_9;2016;61.73308088;8.942840844;924
522_11;2016;61.73358783;8.954139435;871
522_19;2016;61.7198027;8.939838433;989
522_5;2019;61.72965285;8.926439414;1035
522_6;2019;61.73233667;8.925903076;1026
522_7;2019;61.73258199;8.931561532;980
522_8;2019;61.73283604;8.937201134;948
523_2;2012;61.73625342;9.266858998;828
523_10;2012;61.7482414;9.287243518;558
524_6;2010;61.76077639;9.604164322;878
525_1;2007;61.76033594;9.946010617;1085
525_2;2007;61.76301435;9.94556234;1129
525_3;2007;61.76570159;9.945133207;1180
525_4;2007;61.76837999;9.944684781;1185
