Id;Aar;RuteNr;PktNr;FK_Vegetasjonstype1;Dekningsgrad1;;;;;;;
3655;2005;1618;11;26;40;;;;;;;
3656;2005;1618;17;13;50;;;;;;;
3657;2005;1618;18;2;95;;;;;;;
3658;2005;1618;19;1;50;;;;;;;
3659;2005;1618;20;1;100;;;;;;;
3660;2005;1619;1;3;90;;;;;;;
3661;2005;1619;2;11;90;;;;;;;
3662;2005;1619;3;10;90;;;;;;;
3663;2005;1619;4;31;60;;;;;;;
3664;2005;1619;5;13;70;;;;;;;
3665;2005;1619;6;4;60;;;;;;;
3666;2005;1619;7;1;100;;;;;;;
3667;2005;1619;8;1;50;;;;;;;
3668;2005;1619;9;1;90;;;;;;;
3669;2005;1619;10;7;100;;;;;;;
3670;2005;1619;11;11;50;;;;;;;
3671;2005;1619;18;1;100;;;;;;;
3672;2005;1619;19;2;100;;;;;;;
3673;2005;1619;20;7;100;;;;;;;
3674;2005;1620;1;9;50;;;;;;;
3675;2005;1620;2;9;70;;;;;;;
3676;2005;1620;3;22;100;;;;;;;
3677;2005;1620;4;22;100;;;;;;;
3678;2005;1620;5;22;100;;;;;;;
3679;2005;1620;6;22;100;;;;;;;
3680;2005;1620;7;22;100;;;;;;;
3681;2005;1620;8;22;100;;;;;;;
3682;2005;1620;9;22;100;;;;;;;
3683;2005;1620;10;22;100;;;;;;;
3684;2005;1620;11;22;100;;;;;;;
3685;2005;1620;12;22;100;;;;;;;
3686;2005;1620;13;22;100;;;;;;;
3687;2005;1620;14;22;100;;;;;;;
3688;2005;1620;15;22;100;;;;;;;
3689;2005;1620;16;22;100;;;;;;;
3690;2005;1620;17;22;100;;;;;;;
3691;2005;1620;18;22;100;;;;;;;
3692;2005;1620;19;22;100;;;;;;;
3693;2005;1620;20;22;50;;;;;;;
3694;2005;1622;1;4;50;;;;;;;
3695;2005;1622;2;4;50;;;;;;;
3696;2005;1623;1;12;80;;;;;;;
3697;2005;1623;2;12;70;;;;;;;
3698;2005;1623;3;12;90;;;;;;;
3699;2005;1623;4;12;80;;;;;;;
3700;2005;1623;5;22;90;;;;;;;
3701;2005;1623;6;23;95;;;;;;;
3702;2005;1623;7;22;90;;;;;;;
3703;2005;1623;8;3;90;;;;;;;
3704;2005;1623;9;1;85;;;;;;;
3705;2005;1623;10;3;70;;;;;;;
3706;2005;1623;11;3;90;;;;;;;
3707;2005;1623;12;3;90;;;;;;;
3708;2005;1623;13;3;100;;;;;;;
3709;2005;1623;14;3;95;;;;;;;
3710;2005;1623;15;1;100;;;;;;;
3711;2005;1623;16;1;100;;;;;;;
3712;2005;1623;17;13;80;;;;;;;
3713;2005;1623;18;13;95;;;;;;;
3714;2005;1623;19;3;70;;;;;;;
3715;2005;1623;20;12;60;;;;;;;
3716;2005;1625;1;13;50;;;;;;;
3717;2005;1625;2;4;100;;;;;;;
3718;2005;1625;3;3;40;;;;;;;
3719;2005;1625;5;8;50;;;;;;;
3720;2005;1625;7;9;100;;;;;;;
3721;2005;1625;8;8;100;;;;;;;
3722;2005;1625;10;4;50;;;;;;;
3723;2005;1625;11;8;60;;;;;;;
3724;2005;1625;12;4;70;;;;;;;
3725;2005;1625;13;6;50;;;;;;;
3726;2005;1625;14;15;70;;;;;;;
3727;2005;1625;15;9;100;;;;;;;
3728;2005;1625;16;3;80;;;;;;;
3729;2005;1625;17;3;75;;;;;;;
3730;2005;1625;18;3;50;;;;;;;
3731;2005;1625;20;12;50;;;;;;;
